	IDRegent	IDBron	deel en paginanummer
144	50	12	VIII, 1261.
145	50	15	19.
146	51	4	VI, 257.
147	51	9	142.
148	52	4	VII, 19.
149	52	9	116.
150	52	20	170.
151	53	9	110.
152	54	2	81.
153	54	16	285.
154	55	7	13 (1923) 343.
155	57	4	II, 279.
156	57	16	284.
157	58	9	140.
158	59	2	247.
159	59	4	XI, 80.
160	59	7	6 (1915) 384.
161	59	9	149.
162	59	12	V, 1043.
163	61	16	284.
164	61	19	71.
165	63	4	XII, 148.
166	63	9	152.
167	63	12	IV, 1487.
168	64	7	40 (1954) 209.
169	64	12	X, 489.
170	65	7	68 (1984) 170.
171	66	2	84.
172	66	5	537.
173	66	12	I, 870.
174	67	8	46 (1953), 202.
175	67	12	VII, 1295.
176	68	4	III, 204.
177	68	9	106.
178	68	12	II, 313.
179	69	4	VII, 97.
180	69	12	I, 960.
181	70	2	89.
182	71	10	333.
183	72	10	1227.
184	73	10	1138.
185	73	27	
186	74	10	569.
187	74	27	
188	75	10	436.
189	75	27	
190	76	10	580.
191	76	27	
192	77	27	
193	78	10	1014.
194	78	27	
195	79	10	218.
196	79	27	
197	80	10	398.
198	80	23	207.
199	80	27	
200	81	10	783.
201	81	27	
202	82	10	1183.
203	83	10	1191.
204	83	27	
205	84	10	1449.
206	85	27	
207	86	10	1183.
208	86	27	
209	87	10	200.
210	88	10	1040.
211	89	10	161.
212	89	23	194.
213	89	27	
214	90	10	622.
215	93	10	1443.
216	94	10	1185.
217	95	10	1206.
218	96	4	II, 519.
219	96	8	80 (1989) 578.
220	96	12	X, 166.
221	97	4	XI, 61.
222	97	9	148.
223	97	12	V, 955.
224	98	10	1042.
225	100	10	1043.
226	101	10	894.
227	102	10	75.
228	103	2	208.
229	103	4	X, 106.
230	103	8	44 (1951) 108.
231	103	9	63.
232	103	10	1544.
233	103	12	IV, 1225.
234	103	20	39.
235	103	23	255.
236	105	9	63.
237	106	10	510.
238	107	2	119.
239	107	4	VI, 363.
240	107	12	VIII, 838.
241	108	2	33.
242	108	4	II, 139.
243	108	12	IX, 59.
244	109	4	IX, 86.
245	110	4	X, 108.
246	110	12	IV, 858.
247	111	4	VII, 82.
248	111	8	83 (1993) 312.
249	111	9	74.
250	111	12	VIII, 621.
251	111	20	221.
252	114	3	no. 4340
253	114	4	II, 514.
254	114	20	38.
255	115	9	81.
256	115	12	VII, 1028.
257	115	15	19.
258	116	2	187.
259	116	9	145.
260	116	12	IX, 818.
261	117	19	153.
262	119	3	no. 3010
263	122	4	VIII, 35.
264	122	7	26 (1940) 243.
265	122	12	II, 866.
266	123	4	X, 80.
267	123	7	58 (1972) 238.
268	123	12	V, 676.
269	125	9	141.
270	126	10	635.
271	127	10	1192.
272	128	10	1203.
273	130	10	780.
274	130	23	229.
275	131	10	1167.
276	132	10	869.
277	134	10	765.
278	135	10	580.
279	137	10	1593.
280	137	18	280.
281	138	4	VI, 285.
282	138	7	67 (1983) 153.
283	138	9	150.
284	138	12	IV, 764.
285	138	18	161.
286	139	4	XII, 56 en 153.
287	139	8	46 (1953) 348.
288	139	9	135.
289	139	12	III, 1417.
290	139	18	307.
291	140	10	1321.
292	140	18	241.
293	141	4	XI, 60.
294	141	8	46 (1953) 92.
295	141	10	1715.
296	141	12	IX, 1204.
